ID,lbm_2002,lbm_2008,lbm_2012,lbm_2014,lbm_2016,lbm_2018,lbm_2020,lbm_2022,cluster,2002-2008,2008-2012,2012-2014,2014-2016,2016-2018,2018-2020,2020-2022
WK189100,4.103163878,4.11572721,4.115014915,4.131727927,4.21123188,4.130748216,4.125507667,4.123724992,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK189101,4.212402349,4.165965884,4.182004064,4.163721495,4.17561473,4.117224748,4.097567865,4.093956492,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK189102,4.114487941,4.108758253,4.109853572,4.100984613,4.112763414,4.096337611,4.072049199,4.053145867,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK189103,4.134192767,4.141978349,4.164267213,4.179182535,4.234792769,4.145958239,4.137548976,4.164313732,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK189201,4.046776575,4.009333311,4.010394125,4.051476949,4.046699774,4.057563605,4.077091509,4.085828678,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK189202,4.010573564,3.993124137,4.024239047,4.04092676,4.0973633,4.080758166,4.11266643,4.106808085,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK189203,3.931494019,3.929474749,3.9533865,4.005293348,4.030429081,4.033365387,4.061323821,4.062771196,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK189204,4.012406413,3.994170445,4.022040558,4.076711804,4.111873216,4.125197942,4.140484569,4.132104497,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK189400,4.142284959,4.118338683,4.135512094,4.143887577,4.174318389,4.15383756,4.151511229,4.163735123,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK189401,4.084747031,4.092076524,4.122156521,4.143111426,4.146288665,4.159262558,4.178378842,4.200513965,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
